id;input_adr;low_adr;upp_adr;cap_adr
217;6 avenue du maréchal de lattre de tassigny;6 boulevard maréchal de lattre de tassigny;6 BOULEVARD MARÉCHAL DE LATTRE DE TASSIGNY;6 Boulevard Maréchal de Lattre de Tassigny
218;70 rue gambetta;70 rue gambetta;70 RUE GAMBETTA;70 Rue Gambetta
219;35 chemin des roses;35 chemin des roses;35 CHEMIN DES ROSES;35 Chemin des Roses
220;8 rue louis rené nougier;8 rue du professeur louis-rené nougier;8 RUE DU PROFESSEUR LOUIS-RENÉ NOUGIER;8 Rue du Professeur Louis René Nougier
221;38 rue emile zola;38 rue emile zola;38 RUE EMILE ZOLA;38 Rue Emile Zola
222;5 square de la concorde;5 square de la concorde;5 SQUARE DE LA CONCORDE;5 Square de la Concorde
223;6 boulevard aristide briand;6 boulevard aristide briand;6 BOULEVARD ARISTIDE BRIAND;6 Boulevard Aristide Briand
224;47 avenue jean jaurès;47 avenue jean jaurès;47 AVENUE JEAN JAURÈS;47 Avenue Jean Jaurès
225;6 rue louis rené nougier;6 rue du professeur louis-rené nougier;6 RUE DU PROFESSEUR LOUIS-RENÉ NOUGIER;6 Rue du Professeur Louis René Nougier
226;12 esplanade jacques chirac;12 esplanade jacques chirac;12 ESPLANADE JACQUES CHIRAC;12 Esplanade Jacques Chirac
227;7 rue emilien colin;7 rue emilien colin;7 RUE EMILIEN COLIN;7 Rue Emilien Colin
228;16 rue ledru rollin;16 rue ledru rollin;16 RUE LEDRU ROLLIN;16 Rue Ledru Rollin
229;10 place stalingrad;10 place de stalingrad;10 PLACE DE STALINGRAD;10 Place de Stalingrad
230;10 allée des gros buissons;10 allée des gros buissons;10 ALLÉE DES GROS BUISSONS;10 Allée des Gros Buissons
231;1 rue darracq;1 rue alexandre darracq;1 RUE ALEXANDRE DARRACQ;1 Rue Alexandre Darracq
232;27 rue albert caron;27 rue albert caron;27 RUE ALBERT CARON;27 Rue Albert Caron
