id;input_adr;low_adr;upp_adr;cap_adr
142;51 rue paul bert;51 rue paul bert;51 RUE PAUL BERT;51 Rue Paul Bert
143;75 rue paul bert;75 rue paul bert;75 RUE PAUL BERT;75 Rue Paul Bert
144;10 rue étienne dolet;10 rue etienne dolet;10 RUE ETIENNE DOLET;10 Rue Etienne Dolet
145;2 rue honoré d'estienne d'orves;2 rue honoré d'estienne d'orves;2 RUE HONORÉ D'ESTIENNE D'ORVES;2 Rue Honoré d'Estienne d'Orves
146;7 rue jean macé;7 rue jean macé;7 RUE JEAN MACÉ;7 Rue Jean Macé
147;93 rue rouget de lisle;93 rue rouget de lisle;93 RUE ROUGET DE LISLE;93 Rue Rouget de Lisle
148;19 boulevard de grenelle;19 boulevard de grenelle;19 BOULEVARD DE GRENELLE;19 Boulevard de Grenelle
149;1 place de la halle;1 place de la halle;1 PLACE DE LA HALLE;1 Place de la Halle
150;5 passage de la gare de longchamp;5 passage de la gare de longchamp;5 PASSAGE DE LA GARE DE LONGCHAMP;5 Passage de la Gare de Longchamp
151;25 rue emilien colin;25 rue emilien colin;25 RUE EMILIEN COLIN;25 Rue Emilien Colin
152;7 rue honoré d'estienne d'orves;7 rue honoré d'estienne d'orves;7 RUE HONORÉ D'ESTIENNE D'ORVES;7 Rue Honoré d'Estienne d'Orves
153;2 rue de locarno;2 rue de locarno;2 RUE DE LOCARNO;2 Rue de Locarno
154;13 rue victor hugo;13 rue victor hugo;13 RUE VICTOR HUGO;13 Rue Victor Hugo
155;3 rue louis rené nougier;3 rue du professeur louis-rené nougier;3 RUE DU PROFESSEUR LOUIS-RENÉ NOUGIER;3 Rue du Professeur Louis René Nougier
156;62 rue fernand forest;62 rue fernand forest;62 RUE FERNAND FOREST;62 Rue Fernand Forest
157;2 square de la concorde;2 square de la concorde;2 SQUARE DE LA CONCORDE;2 Square de la Concorde
158;5 rue louis rené nougier;5 rue du professeur louis-rené nougier;5 RUE DU PROFESSEUR LOUIS-RENÉ NOUGIER;5 Rue du Professeur Louis René Nougier
159;3 allée des primevères;3 allée des primevères;3 ALLÉE DES PRIMEVÈRES;3 Allée des Primevères
160;1 allée des pinsons;1 allée des pinsons;1 ALLÉE DES PINSONS;1 Allée des Pinsons
161;15 rue maurice payret dortail;15 rue maurice payret dortail;15 RUE MAURICE PAYRET DORTAIL;15 Rue Maurice Payret Dortail
