"type_voie","determinant","nom","borne_debut","borne_fin","parite","quartier","code_postal","commune","date_mise_a_jour"
"ALLEE",NULL,"SANTOS DUMONT",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"ALLEE",NULL,"SCHEURER KESTNER",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE","DE","SEVRES",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"AVENUE",NULL,"SISLEY",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"IMPASSE","DES","SOMMELIERS DE LA GROUE",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"SENTE","DES","SORBIERS",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"ALLEE","DES","SOURCES",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"PLACE","DE","STALINGRAD",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"VILLA","DE LA","STATION",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"AVENUE","DE","SULLY",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"CHEMIN","DU","SYNDICAT DES CULTIVATEURS",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"CHEMIN","DU","SYNDICAT DES CULTIVATEURS",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE","DE LA","TERRASSE",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE","DES","TERRES BLANCHES",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE","DU","TERTRE",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"ALLEE","DES","TILLEULS",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"RUE","DES","TOURNEROCHES",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"SQUARE","DES","TOURTERELLES",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"CITE","DE LA","TUILERIE",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE","DE LA","TUILERIE",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"PASSAGE","DU","VAL D'OR",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"RUE","DU","VAL D'OR",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"RUE","DU","VAL D'OR",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE","DES","VELETTES",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"ALLEE","DE LA","VENELLE",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE","DE","VERDUN",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE","DE","VERDUN",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"RUE",NULL,"VICTOR DIEDERICH",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE",NULL,"VICTOR HUGO",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"IMPASSE","DES","VIGNERONS",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE","DES","VIGNES",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"ALLEE","DES","VIOLETTES",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"RUE",NULL,"VOLTAIRE",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"BOULEVARD",NULL,"WASHINGTON",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"ALLEE",NULL,"WILLIAM PENN",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"RUE",NULL,"WORTH",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
