"type_voie","determinant","nom","borne_debut","borne_fin","parite","quartier","code_postal","commune","date_mise_a_jour"
"AVENUE","DES","CONFERENCES DE SURESNES",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE","DES","COTTAGES",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"RUE","DES","COUVALOUX",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"AVENUE","DE LA","CRIOLLA",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"CARREFOUR","DE LA","CROIX DU ROY",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"RUE",NULL,"CURIE",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"IMPASSE","DU","CYGNE",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"ALLEE","DES","CYTISES",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"CITE",NULL,"DANTON",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"RUE",NULL,"DANTON",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"RUE",NULL,"DESBASSAYNS DE RICHEMONT",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE",NULL,"DIDEROT",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE","DU","DOCTEUR EMILE ROUX",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE","DU","DOCTEUR MAGNAN",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"RUE","DU","DOCTEUR MARC BOMBIGER",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
NULL,NULL,"DOMAINE DES HOCQUETTES",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"ALLEE",NULL,"EDGAR FOURNIER",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"PLACE",NULL,"EDGAR FOURNIER",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE",NULL,"EDOUARD NIEUPORT",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"AVENUE",NULL,"EDOUARD VAILLANT",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"RUE",NULL,"EMILE DUCLAUX",0,9999,"SUITE","ECLUSE-BELVEDERE","92150","SURESNES","01092021"
"RUE",NULL,"EMILE ZOLA",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE",NULL,"EMILIEN COLIN",0,9999,"SUITE","LIBERTE","92150","SURESNES","01092021"
"AVENUE",NULL,"EMMANUEL KANT",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
NULL,NULL,"ESPLANADE JACQUES CHIRAC",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"AVENUE","D'","ESTOURNELLES DE CONSTANT",0,9999,"SUITE","CITE JARDINS","92150","SURESNES","01092021"
"RUE",NULL,"ETIENNE DOLET",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE","DU","FECHERAY",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
"RUE",NULL,"FERNAND FOREST",0,9999,"SUITE","REPUBLIQUE","92150","SURESNES","01092021"
"RUE",NULL,"FIZEAU",0,9999,"SUITE","CENTRE VILLE","92150","SURESNES","01092021"
"RUE","DES","FLEURS",0,9999,"SUITE","MONT-VALERIEN","92150","SURESNES","01092021"
