id;adresse
221;43 Chemin du Syndicat des Cultivateurs
222;21 rue Georges Appay
223;1 allée Charles Gounod
224;65 rue des Bas Rogers
226;11 avenue Sisley
227;105 Rue De Verdun
228;56 rue Danton
229;12 rue Artheme Genteur
230;94 rue des Chênes
231;2 allée des orangers
232;53 BIS BOULEVARD MARECHAL DE LATTRE DE TASSIGNY
233;71 BOULEVARD MARECHAL DE LATTRE DE TASSIGNY
234;51 rue Paul Bert
235;39 rue du docteur Magnan
236;37 rue Jacques Decour
237;23 rue Roger Salengro
238;64 rue des Chênes
239;76 rue Rouget de Lisle
240;60 rue des bons raisins
241;29 bis rue Emile Duclaux
242;allée des pinsons
243;33 rue des Acquevilles
244;21 rue Maurice Payret Dortail
245;8 allée Louis Chevrolet
246;24 Rue Garibaldi
247;7 chemin du syndicat des cultivateurs
248;2 rue de Locarno
249;25 rue du Docteur Emile Roux
250;1 allee des gros buissons
251;22 esplanade Jacques Chirac
252;17 rue du ratrait
253;3 rue Pierre DUPONT
254;6 rue des pavillons
255;5 avenue Edouard Vaillant
256;21 rue Carnot
257;3 rue des Velettes
258;132 BOULEVARD MARECHAL DE LATTRE DE TASSIGNY
259;97 rue pasteur
260;23 av jean jaures
261;23 rue Raymond Cosson
262;5 allée des rives de Bagatelle
263;2 rue du Mont Valérien
264;14 RUE ARTHEME GENTEUR
265;47 avenue Jean Jaurès
266;91 rue des chênes
267;33 allée des tilleuls
268;22 rue Victor Hugo
269;83 rue de Verdun
270;12 rue Emilien Colin
271;49 rue pasteur
272;RUE DE LA REPUBLIQUE
273;74 rue Gambetta
274;24 Rue Emilien Colin
275;9 boulevard Aristide Briand
276;4 avenue Justin Godart
277;7 allée Louis Chevrolet
278;24 rue Carnot
279;1 allée des rives de Bagatelle
280;1 avenue Justin Godart
281;7 BIS RUE EMILE DUCLAUX
282;10 rue Etienne Dolet
283;7 rue du clos des ermites
284;6 rue Gabriel Philippe
285;10 Bis rue de Bellevue
286;3 allée des Lilas
287;8 Bis rue Michelet
288;10 Rue Rouget De Lisle
289;24 Rue Emilien Colin
290;17 rue Perronet
291;17 rue du ratrait
292;10 rue de la cerisaie
293;6 rue du PROFESSEUR LOUIS-RENE NOUGIER
294;26 rue de la cerisaie
295;6 rue du PROFESSEUR LOUIS-RENE NOUGIER
296;2 allée des violettes
297;73 rue Des Bas Rogers
298;8 rue des velettes
299;9 boulevard Aristide Briand
300;25 allée des tilleuls
301;11 rue de Verdun
302;2 RUE FLORENT DANCOURT
303;3 bis rue Beauséjour
304;4 ter rue Diderot
305;10 rue de la liberté
306;17 allée Santos Dumont
307;2 square de la Concorde
308;4 bis rue du calvaire
309;22 Rue de la Poterie
310;13 rue Raymond Cosson
312;2 place du général Leclerc
313;2 rue Honoré d'Estienne d'Orves
314;124 bis rue Carnot
316;44 rue Carnot
317;9 allée Santos Dumont
318;14 RUE GEORGES APPAY
319;7 RUE PAUL BERT
320;7 RUE PAUL BERT
321;39 Av Georges Pompidou
322;33 rue Jean-Jacques Rousseau
323;3 avenue Georges Pompidou
324;40 rue de la République
325;44 RUE DU FECHERAY
326;4 bis rue du calvaire
327;9 ter allée des Marronniers
328;56 bis rue du Val d'Or
329;80 rue des cherchevets
330;21 rue de Saint-Cloud
331;6 rue Gabriel Philippe
332;37 bis rue Voltaire
333;4 rue Georges Appay
334;44 avenue Jean Jaurès
335;17 rue Emile Duclaux
336;6 PROMENADE SAINT-LEUFROY
337;4 rue Claude Burgod
338;147 boulevard Henri sellier
339;35 Rue Jean-Jacques Rousseau
340;7 bis rue Jean Macé
341;15 place du Général Leclerc
342;10 avenue du maréchal juin
343;60 rue voltaire
344;2 RUE FLORENT DANCOURT
345;26 rue du pas saint-maurice
346;5 allée Georges Bizet
348;1 Rue des Cottages
349;17 rue des tourneroches
350;9 boulevard Aristide Briand
351;22 RUE DE LA POTERIE
352;25 Avenue Georges Pompidou
353;43 rue des Parigots
354;37 rue de la République
355;6 avenue du maréchal JUIN
356;27 ter rue Benoit Malon
357;promenade Saint Leufroy
358;19 rue de verdun
359;19 rue des puits
360;21 rue Albert Caron
361;43 rue cluseret
362;1 place de la halle
363;10 avenue du maréchal Juin
364;13 rue victor hugo
365;20 allée des jonquilles
366;9 rue Gabriel philippe
367;6 allée des maraichers
368;39 Rue Des Meuniers
369;42 rue roger salengro
370;19 rue Albert Caron
371;142 BOULEVARD MARECHAL DE LATTRE DE TASSIGNY
372;39 route des fusillés de la Résistance
373;3 rue Chevreul
374;3 Rue Raymond Cosson
376;9 rue carnot
377;108 rue de la République
378;7 rue Curie
379;19 rue Albert Caron
380;13 avenue Georges Pompidou
381;1 allée des bouchons
382;11 bis rue des Cottages
384;19 rue gardenat lapostol
385;12 place du général Leclerc
386;93 rue de la République
387;57 route des fusillés de la Résistance
388;15 rue de Verdun
389;1 square des Tourterelles
390;41 route des fusilles de la resistance
391;1 avenue sisley
393;2 rue des Chèvremonts
394;6 allée des maraichers
395;23 rue Roger Salengro
396;8 rue des Acquevilles
397;116 Boulevard Maréchal de Lattre de Tassigny
398;4 rue Etienne Dolet
399;126 rue carnot
400;10 rue de la liberté
401;16 avenue Georges Pompidou
402;1 allée des platanes
403;30 rue Carnot
404;25 rue Jacques Decour
405;33 rue Jules Ferry
406;19 avenue de la belle Gabrielle
407;51 rue Gardenat Lapostol
408;9 allée de Longchamp
409;10 rue Etienne Dolet
410;27 rue Pierre Dupont
411;82 Rue de la Liberté
412;24 rue des Vignes
413;114 rue Carnot
414;8 Bis rue Michelet
415;52 avenue Jean Jaurès
416;11 allée Santos Dumont
417;9 boulevard Aristide Briand
418;33 rue de la République
419;54 rue des bons raisins
420;99 rue des chênes
421;36 rue Jean-Jacques Rousseau
422;15 rue Benoit Malon
423;3 boulevard Aristide Briand
424;2 rue Berthelot
